year,Albania,Austria,Belgium,Bulgaria,Bosnia and Herzegovina,Belarus,Switzerland,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Kosovo,Lithuania,Luxembourg,Latvia,Moldova,Macedonia,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Republic of Serbia,Slovakia,Slovenia,Sweden,Ukraine,Europe
2001,115110700.0,15992066.0,0.0,7601921500.0,134751970.0,721038400.0,0.0,5795782.0,0.0,0.0,1367429200.0,697640.0,8908331.0,235426850.0,56616212.0,1216577900.0,487328830.0,1122020700.0,4185843.0,0.0,2413139000.0,39550856.0,15562744.0,0.0,50176440.0,1351652000.0,111568830.0,62197344.0,0.0,11054921.0,132981040.0,990703360.0,6610198500.0,713632700.0,18245980.0,0.0,0.0,27417117000.0,53031584000.0
2002,137005890.0,25383382.0,0.0,8581945300.0,167380080.0,3682308000.0,0.0,32681774.0,2200249.0,0.0,2977315300.0,64773230.0,21036540.0,484108900.0,116452300.0,1642460700.0,605498430.0,1344782700.0,9391315.0,0.0,3358871300.0,45185644.0,216536860.0,0.0,206340580.0,1694461800.0,172961200.0,62197344.0,1985592.0,15294428.0,442518800.0,2251179000.0,7403523000.0,1033152100.0,69066420.0,0.0,87044070.0,46943650000.0,83898696000.0
2003,443323780.0,39658180.0,6708083.0,11092915000.0,1270403600.0,5384551400.0,5098142.0,40624144.0,20392564.0,6117771.0,5654591500.0,97347680.0,48137184.0,1209816200.0,574158200.0,2100059300.0,1240834300.0,2420705500.0,32574448.0,0.0,6113478700.0,103680130.0,507452960.0,0.0,364865950.0,1735461600.0,255229120.0,177093390.0,10035289.0,105236420.0,1006427000.0,7017943000.0,8632283000.0,2576708900.0,138508480.0,1502610.0,107490300.0,51879027000.0,112420450000.0
2004,489529060.0,61016710.0,7030071.0,16043588000.0,1316930800.0,5766536700.0,5098142.0,58172490.0,23988092.0,12181875.0,8307128300.0,112803096.0,67832110.0,1342260600.0,610435500.0,2860756000.0,1404511500.0,3075038700.0,32574448.0,0.0,9018346000.0,178864320.0,589613600.0,0.0,397225730.0,2267815200.0,359070240.0,178488670.0,10035289.0,118437920.0,1085421400.0,8451594000.0,12872596000.0,3635244500.0,273314100.0,2361244.0,112642110.0,65417870000.0,146566370000.0
2005,644405250.0,99172290.0,7405723.0,18342957000.0,1374620300.0,6133227500.0,5098142.0,94288800.0,23988092.0,14596784.0,10092284000.0,112803096.0,76364790.0,1565666600.0,634584640.0,3231525000.0,1590513200.0,3604923600.0,32574448.0,214658.0,10145090000.0,261024910.0,618485200.0,0.0,398030700.0,2948551400.0,444397060.0,182513520.0,10035289.0,156110510.0,1174934000.0,12409148000.0,16035270000.0,4328753000.0,361699800.0,6815411.0,149992700.0,89051520000.0,186363600000.0
2006,701558140.0,136469230.0,8425351.0,22380364000.0,1427909200.0,7781698600.0,5098142.0,108831920.0,27529960.0,19265608.0,11644051000.0,158525380.0,118437880.0,1595879800.0,669466700.0,3620755000.0,1748770300.0,3988518700.0,38906880.0,71427670.0,11454400000.0,286515620.0,773951700.0,0.0,516307600.0,3544175600.0,593853100.0,240203040.0,18997286.0,180259620.0,1226398500.0,13253294000.0,19319224000.0,5166888000.0,405275520.0,7083734.0,219649420.0,108652270000.0,222110650000.0
2007,2328402400.0,142533340.0,12879518.0,24739946000.0,1965736400.0,8126923300.0,6976404.0,110334530.0,28281264.0,20982876.0,12282553000.0,160993950.0,121121110.0,1712063700.0,896843840.0,6761586700.0,2328348700.0,4315658000.0,97347700.0,72983944.0,15754711000.0,700967800.0,831855900.0,0.0,518722500.0,4201299500.0,1234394600.0,831426700.0,18997286.0,186592050.0,1262729500.0,13609359000.0,21766010000.0,6614653000.0,461569760.0,7083734.0,228826080.0,130822595000.0,265284290000.0
2008,2636705800.0,152568640.0,15294427.0,27433697000.0,2101883600.0,8413492700.0,6976404.0,116130310.0,40033824.0,21948838.0,12577924000.0,174141800.0,165018800.0,1751400000.0,975677250.0,7740537300.0,2818736400.0,5063422000.0,104807080.0,73466930.0,18859750000.0,783611400.0,853268100.0,0.0,518722500.0,6357707000.0,1457210400.0,914445950.0,18997286.0,242939940.0,1286825000.0,13746634000.0,29137496000.0,8391060500.0,501925570.0,7083734.0,255175420.0,171818220000.0,327534940000.0
2009,2781761300.0,152568640.0,15294427.0,28977790000.0,2264648700.0,9179288000.0,6976404.0,122838390.0,42287736.0,21948838.0,13588751000.0,182620800.0,172263520.0,1912715900.0,1122235400.0,8488086000.0,3196321000.0,5584130000.0,108670936.0,73466930.0,20362414000.0,908113400.0,989737340.0,0.0,552960600.0,7116901000.0,1535990100.0,942727230.0,21251200.0,245140200.0,1337699100.0,14738035000.0,33033282000.0,10772054000.0,513356130.0,7083734.0,261829840.0,198002500000.0,369335730000.0
2010,2953166300.0,153856590.0,15294427.0,30053392000.0,2313537300.0,9434516000.0,6976404.0,124716660.0,48566500.0,21948838.0,13991129000.0,184338060.0,190402180.0,1945666000.0,1222803000.0,8696359000.0,3289000000.0,5642571000.0,158579070.0,78028424.0,22614880000.0,988717700.0,1006480700.0,0.0,553282560.0,7587593700.0,1656413700.0,995050240.0,23075798.0,286301000.0,1369736800.0,16384574000.0,37526143000.0,11310739000.0,540510460.0,7083734.0,263171460.0,211162150000.0,394800730000.0
2011,3602562600.0,228772460.0,28120282.0,32708827000.0,2615508200.0,9552901000.0,6976404.0,147416800.0,75130504.0,21948838.0,15170195000.0,184338060.0,205857600.0,1997130500.0,1384226300.0,10051284000.0,3759692800.0,6058364400.0,175322430.0,78028424.0,24891443000.0,1439286300.0,1053812900.0,0.0,568147650.0,8486799000.0,2040438000.0,1262246700.0,23075798.0,289467200.0,1392168700.0,17217075000.0,43945673000.0,15256971000.0,580115000.0,7083734.0,272133440.0,226577480000.0,433356000000.0
2012,4414241000.0,231294700.0,28120282.0,35655823000.0,3758780400.0,10199721000.0,11430570.0,157022770.0,75130504.0,21948838.0,17096918000.0,185411360.0,206608900.0,2115675800.0,1480017700.0,11010110000.0,4519423500.0,6586371000.0,183318460.0,79423704.0,27906163000.0,1690973600.0,1073132200.0,0.0,571421200.0,8771651000.0,2350351400.0,1951461900.0,24310084.0,303688320.0,1451414500.0,18230264000.0,50062370000.0,18099106000.0,618163260.0,7083734.0,280451460.0,237036730000.0,468445500000.0
2013,4452772000.0,232958300.0,28120282.0,37542298000.0,3793984500.0,10322022000.0,11430570.0,169794960.0,78082060.0,21948838.0,18078552000.0,187450620.0,212404670.0,2119003000.0,1509050200.0,11541445000.0,4599437300.0,6720962000.0,211760740.0,79423704.0,29575348000.0,1840322300.0,1106511600.0,0.0,572065150.0,9266009000.0,2511721000.0,1977113600.0,25866360.0,305566600.0,1469928800.0,20166110000.0,53213184000.0,19409811000.0,632223400.0,7513051.0,321236600.0,243795530000.0,488108920000.0
2014,4483253000.0,238432100.0,28120282.0,38974340000.0,3820119300.0,12145279000.0,11430570.0,203550030.0,80013990.0,28227600.0,18485707000.0,196358960.0,218361440.0,2216350700.0,1520319900.0,12530108000.0,4647574500.0,6887107600.0,215731920.0,79423704.0,31102001000.0,1955003600.0,1188618500.0,0.0,582368800.0,10815147000.0,2537426400.0,1977113600.0,31286488.0,330789000.0,1550157400.0,20340627000.0,56597060000.0,19591895000.0,661739000.0,7513051.0,445470300.0,279278400000.0,536002360000.0
2015,4594768400.0,243100930.0,28120282.0,40924730000.0,3944406500.0,14280059000.0,11430570.0,222869310.0,85648780.0,28227600.0,19365431000.0,202208400.0,223996220.0,2251554800.0,1563949200.0,12962216000.0,4765154000.0,7042198500.0,284100700.0,79423704.0,32205883000.0,2065606500.0,1268310500.0,0.0,595892300.0,11621673000.0,2649156400.0,2193275000.0,31286488.0,336799420.0,1667683100.0,20888275000.0,59500430000.0,20286638000.0,691200900.0,7513051.0,463286980.0,309322550000.0,578899000000.0
2016,4670596600.0,246267140.0,28120282.0,43548127000.0,4125149200.0,14455649000.0,11430570.0,231187330.0,86775740.0,28227600.0,20310036000.0,209184800.0,230167660.0,2489933300.0,1667468300.0,13671287000.0,4896310300.0,7091731000.0,286837600.0,79423704.0,33829186000.0,2080471700.0,1302870500.0,0.0,603190660.0,12629817000.0,2725575000.0,2225098000.0,31286488.0,338194700.0,1700686800.0,22787630000.0,63647097000.0,21066922000.0,698069950.0,7513051.0,463501630.0,328342440000.0,612843400000.0
2017,5230480000.0,248038060.0,29139910.0,46256960000.0,4787693000.0,14709161000.0,11430570.0,239720000.0,88707670.0,28549588.0,22449218000.0,209184800.0,235641460.0,2776395300.0,1746838300.0,14171549000.0,5678634000.0,7156826000.0,354723400.0,79423704.0,36098933000.0,2166764500.0,1321653100.0,0.0,604424960.0,13293917000.0,3066131000.0,2715163600.0,33486740.0,354830720.0,1703048100.0,28451560000.0,67081474000.0,22477390000.0,699840900.0,15562750.0,471658660.0,351074520000.0,658118600000.0
2018,5302980600.0,252867890.0,38477560.0,47511640000.0,4820536000.0,14902193000.0,12074546.0,255873060.0,119564850.0,28549588.0,22767931000.0,215517230.0,280612450.0,2798397700.0,1860822000.0,14406760000.0,5708364300.0,7259325400.0,361753470.0,79423704.0,36817715000.0,2195797200.0,1335337600.0,0.0,635389440.0,13504873000.0,3083786500.0,2760886000.0,36652950.0,357299300.0,1743511200.0,28864670000.0,68605874000.0,23853350000.0,713686400.0,15562750.0,701826370.0,361986000000.0,676195800000.0
2019,5414925300.0,257268380.0,40463150.0,49413566000.0,4959312400.0,15841647000.0,12074546.0,258717280.0,184123440.0,28549588.0,23497503000.0,219005440.0,291452700.0,3011124500.0,1979903900.0,14848797000.0,5825621500.0,7338642000.0,362129120.0,79423704.0,38824505000.0,2278440700.0,1406389600.0,0.0,640541250.0,13806362000.0,3416292900.0,2820614700.0,36652950.0,395776860.0,1768948200.0,29323233000.0,71576535000.0,25565307000.0,734722940.0,15723744.0,712183600.0,377678400000.0,704864800000.0
2020,5553165300.0,257268380.0,40463150.0,49985630000.0,5322246700.0,17046847000.0,12074546.0,261990820.0,184123440.0,28549588.0,24144431000.0,221527680.0,298536450.0,3085664800.0,2105157200.0,15068929000.0,5991982000.0,7359302700.0,377423550.0,79423704.0,40017310000.0,2341067300.0,1418142200.0,0.0,650952200.0,13892225000.0,3442051800.0,2949624600.0,36652950.0,408817380.0,1833560400.0,29928356000.0,73472565000.0,25715300000.0,738640450.0,18031324.0,720448000.0,389492900000.0,724501270000.0
