year,Albania,Austria,Belgium,Bulgaria,Bosnia and Herzegovina,Belarus,Switzerland,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Kosovo,Lithuania,Luxembourg,Latvia,Moldova,Macedonia,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Republic of Serbia,Slovakia,Slovenia,Sweden,Ukraine,Europe
2001,90156630.0,15884738.0,0.0,5878911000.0,121926110.0,564552260.0,0.0,5420130.0,0.0,0.0,1158888400.0,697640.0,6439758.0,204623360.0,54254972.0,1004065900.0,393791300.0,845916100.0,4185843.0,0.0,1742277000.0,39121536.0,14704113.0,0.0,38584884.0,1029449340.0,83877870.0,51357084.0,0.0,10893927.0,121389470.0,723077700.0,4441824000.0,448529250.0,14918772.0,0.0,0.0,21360308000.0,40470030000.0
2002,17977662.0,4722490.0,0.0,788977900.0,31823142.0,1970781300.0,0.0,19641264.0,2039255.0,0.0,1296806700.0,50230120.0,11430570.0,190670560.0,51840060.0,374794050.0,94396140.0,168560690.0,4507832.0,0.0,688303000.0,5259137.0,168882690.0,0.0,109636900.0,239505400.0,58226156.0,0.0,1878263.0,4185843.0,281095500.0,953567500.0,569865000.0,229953090.0,40570480.0,0.0,79531020.0,13184604000.0,21694263000.0
2003,221098420.0,12235541.0,6708083.0,1751883000.0,891477400.0,1405048200.0,5098142.0,6547088.0,15938401.0,6117771.0,2255848000.0,29515562.0,24202754.0,600668600.0,422448260.0,380911800.0,486040860.0,705314750.0,17441014.0,0.0,1885132300.0,50069130.0,230489700.0,0.0,137596200.0,30857180.0,60104420.0,87688060.0,4078513.0,84736510.0,470853730.0,4092414200.0,843554940.0,989308100.0,54254970.0,1502610.0,17655668.0,3796882200.0,22081720000.0
2004,39550856.0,21090212.0,321988.0,3343040500.0,42770736.0,318446100.0,0.0,9498644.0,3166213.0,5312800.0,2096463700.0,15133431.0,18353312.0,116344990.0,30964508.0,588862340.0,126326620.0,497954430.0,0.0,0.0,1912233000.0,60855730.0,78243080.0,0.0,31662144.0,425829120.0,74862210.0,1287952.0,0.0,12235540.0,73413250.0,964622340.0,2828557300.0,606893700.0,108617280.0,858634.0,4668824.0,8822954000.0,23281394000.0
2005,94288820.0,34560044.0,375652.0,1704336100.0,54308636.0,297838850.0,0.0,26027362.0,0.0,2307580.0,1438052100.0,0.0,8479015.0,205374660.0,23397788.0,296711940.0,174410160.0,352791500.0,0.0,214658.0,762306700.0,47332230.0,24739408.0,0.0,804970.0,452285820.0,65953870.0,3112550.0,0.0,35365010.0,65685540.0,2778595300.0,1889425700.0,441874850.0,66544184.0,4293173.0,35311344.0,13431729000.0,24818835000.0
2006,49908136.0,25437052.0,804970.0,2515048200.0,42931730.0,1341884800.0,0.0,11645231.0,3488203.0,4615160.0,1458069000.0,40570480.0,35472336.0,26564006.0,33755068.0,305298270.0,127077940.0,286998620.0,5795784.0,65953880.0,871514100.0,20231578.0,127346230.0,0.0,87366060.0,416330460.0,120316180.0,52054730.0,8747339.0,17494678.0,48995830.0,743201900.0,1951783800.0,472141760.0,37457936.0,268323.0,66544176.0,13638499000.0,25061614000.0
2007,945678700.0,6064106.0,4454167.0,1802166800.0,328642460.0,272509150.0,1341616.0,1395280.0,751305.0,912299.0,518454300.0,2468574.0,2361244.0,107114670.0,183855120.0,2496587500.0,429317300.0,248682030.0,54469630.0,1556275.0,3016705500.0,295155680.0,41375456.0,0.0,2414910.0,470907460.0,420462620.0,383648700.0,0.0,4400502.0,32520784.0,305942240.0,1837639000.0,999343400.0,41214464.0,0.0,8103362.0,14787835000.0,30056452000.0
2008,227699170.0,7030071.0,2200251.0,1754834600.0,123482380.0,245945150.0,0.0,5473795.0,11698896.0,751304.0,244013220.0,13147841.0,34077060.0,34882030.0,75130530.0,755866800.0,291667460.0,549633540.0,5903112.0,482982.0,2142186100.0,61338708.0,21197540.0,0.0,0.0,1782364700.0,167594750.0,67939464.0,0.0,48673850.0,21787852.0,119028216.0,5439612000.0,1204288800.0,31554820.0,0.0,24846736.0,30814306000.0,46330640000.0
2009,114574060.0,0.0,0.0,958665600.0,143230990.0,700484860.0,0.0,6439759.0,2200250.0,0.0,834968500.0,7835039.0,5688453.0,146289870.0,143391980.0,557736800.0,287857250.0,416276800.0,3863855.0,0.0,1144935700.0,49371484.0,133142030.0,0.0,32789108.0,542657000.0,63592624.0,26510344.0,2200250.0,2146586.0,49371484.0,657016500.0,2356791000.0,1708736800.0,9659638.0,0.0,5956774.0,17630345000.0,28744729000.0
2010,145592220.0,1287952.0,0.0,751090700.0,34721030.0,242027620.0,0.0,1448945.0,6278765.0,0.0,336584770.0,1717268.0,15884740.0,30159538.0,95737760.0,158793740.0,69656730.0,47922544.0,49532480.0,3756526.0,1428875500.0,59514108.0,16743375.0,0.0,321988.0,357621380.0,87473400.0,39228864.0,1824598.0,33111096.0,28764256.0,1367107500.0,3094090200.0,352523200.0,26671338.0,0.0,1019628.0,8805407000.0,17692490000.0
